TIME      DELTA         INSNs   OPERATION
frequency 10
0         [+0]          [+   1] 7f7ab0a14cc0
                        [+   7]                                                                                                         7f7ab0a257c0 -> 7f7ab0a2f930
                        [+   9]                                                                                                         7f7ab0a257ef -> 7f7ab0a2f930
                        [+   8]                                                                                                     7f7ab0a25d0b -> 7f7ab0a257b0
                        [+   7]                                                                                                         7f7ab0a257c0 -> 7f7ab0a2f930
                        [+   9]                                                                                                         7f7ab0a257ef -> 7f7ab0a2f930
                        [+   8]                                                                                                         7f7ab0a257ef -> 7f7ab0a2f930
                        [+  29]                                                                                                     7f7ab0a25d8b -> 7f7ab0a258a0
                        [+  49]                                                                                                         7f7ab0a259fc -> 7f7ab0a2f930
                        [+  26]                                                                                                     7f7ab0a25d8b -> 7f7ab0a258a0
                        [+  65]                                                                                                         7f7ab0a259fc -> 7f7ab0a2f930
                        [+ 228]                                                                                                     7f7ab0a25ee9 -> 7f7ab0a14a90
                        [+  14]                                                                                                 7f7ab0a2613f -> 7f7ab0a25c50
                        [+  76]                                                                                                     7f7ab0a25ee9 -> 7f7ab0a14a90
                        [+   5]                                                                                     7f7ab0a17abe -> 7f7ab0a14b4a
                        [+  10]                                                                                         7f7ab0a14b76 -> 7f7ab0a14a90
                        [+  42]                                                                                             __libc_memalign+121 -> 7f7ab0a2f270
                        [+  24]                                                                                                 7f7ab0a2f2a8 -> 7f7ab0a2f2aa
                        [+  38]                                                                                             7f7ab0a14c10 -> 7f7ab0a270f0
                        [+   1]                                                                                             7f7ab0a14c15 -> 7f7ab0a27390
                        [+   7]                                                                                                 7f7ab0a273a5 -> 7f7ab0a14a70
                        [+  29]                                                                                                     __libc_memalign+121 -> 7f7ab0a2f270
                        [+  24]                                                                                                         7f7ab0a2f2a8 -> 7f7ab0a2f2aa
                        [+  10]                                                                                                     7f7ab0a273fc -> 7f7ab0a14a90
                        [+  42]                                                                                                         __libc_memalign+121 -> 7f7ab0a2f270
                        [+  24]                                                                                                             7f7ab0a2f2a8 -> 7f7ab0a2f2aa
                        [+  10]                                                                                                     7f7ab0a14c5d -> 7f7ab0a14c5f
                        [+  79]                                                                                                     7f7ab0a17f56 -> 7f7ab0a200a0
                        [+8607]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
                        [+  80]                                                                                                             7f7ab0a1e94a -> 7f7ab0a1dca0
                        [+ 170]                                                                                                                 7f7ab0a1e476 -> 7f7ab0a1db00
                        [+  43]                                                                                                                     7f7ab0a1dc3f -> 7f7ab0a2f930
                        [+ 879]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
                        [+ 108]                                                                                                             7f7ab0a1e94a -> 7f7ab0a1dca0
                        [+ 162]                                                                                                                 7f7ab0a1e476 -> 7f7ab0a1db00
                        [+  43]                                                                                                                     7f7ab0a1dc3f -> 7f7ab0a2f930
                        [+  95]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
                        [+ 204]                                                                                                             7f7ab0a1e94a -> 7f7ab0a1dca0
                        [+ 162]                                                                                                                 7f7ab0a1e476 -> 7f7ab0a1db00
                        [+  43]                                                                                                                     7f7ab0a1dc3f -> 7f7ab0a2f930
                        [+  95]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
                        [+ 252]                                                                                                             7f7ab0a1e94a -> 7f7ab0a1dca0
                        [+ 162]                                                                                                                 7f7ab0a1e476 -> 7f7ab0a1db00
                        [+  43]                                                                                                                     7f7ab0a1dc3f -> 7f7ab0a2f930
                        [+  95]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
                        [+ 140]                                                                                                             7f7ab0a1e94a -> 7f7ab0a1dca0
                        [+ 170]                                                                                                                 7f7ab0a1e476 -> 7f7ab0a1db00
                        [+  43]                                                                                                                     7f7ab0a1dc3f -> 7f7ab0a2f930
                        [+  95]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
                        [+ 292]                                                                                                             7f7ab0a1e94a -> 7f7ab0a1dca0
                        [+ 162]                                                                                                                 7f7ab0a1e476 -> 7f7ab0a1db00
                        [+  43]                                                                                                                     7f7ab0a1dc3f -> 7f7ab0a2f930
                        [+  95]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
                        [+ 180]                                                                                                             7f7ab0a1e94a -> 7f7ab0a1dca0
                        [+ 162]                                                                                                                 7f7ab0a1e476 -> 7f7ab0a1db00
                        [+  43]                                                                                                                     7f7ab0a1dc3f -> 7f7ab0a2f930
                        [+  95]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
                        [+ 196]                                                                                                             7f7ab0a1e94a -> 7f7ab0a1dca0
                        [+ 162]                                                                                                                 7f7ab0a1e476 -> 7f7ab0a1db00
                        [+  43]                                                                                                                     7f7ab0a1dc3f -> 7f7ab0a2f930
                        [+  95]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
                        [+ 124]                                                                                                             7f7ab0a1e94a -> 7f7ab0a1dca0
                        [+ 162]                                                                                                                 7f7ab0a1e476 -> 7f7ab0a1db00
                        [+  43]                                                                                                                     7f7ab0a1dc3f -> 7f7ab0a2f930
                        [+  95]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
                        [+ 156]                                                                                                             7f7ab0a1e94a -> 7f7ab0a1dca0
                        [+  78]                                                                                                                 7f7ab0a1de0c -> 7f7ab0a257b0
                        [+   7]                                                                                                                     7f7ab0a257c0 -> 7f7ab0a2f930
                        [+   9]                                                                                                                     7f7ab0a257ef -> 7f7ab0a2f930
                        [+ 125]                                                                                                                 7f7ab0a1de0c -> 7f7ab0a257b0
                        [+   7]                                                                                                                     7f7ab0a257c0 -> 7f7ab0a2f930
                        [+   9]                                                                                                                     7f7ab0a257ef -> 7f7ab0a2f930
                        [+  89]                                                                                                                 7f7ab0a1e476 -> 7f7ab0a1db00
                        [+  29]                                                                                                                     7f7ab0a1db6b -> 7f7ab0a2f930
                        [+  20]                                                                                                                     7f7ab0a1dc3f -> 7f7ab0a2f930
                        [+  95]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
                        [+ 140]                                                                                                             7f7ab0a1e94a -> 7f7ab0a1dca0
                        [+ 162]                                                                                                                 7f7ab0a1e476 -> 7f7ab0a1db00
                        [+  43]                                                                                                                     7f7ab0a1dc3f -> 7f7ab0a2f930
                        [+  95]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
                        [+ 220]                                                                                                             7f7ab0a1e94a -> 7f7ab0a1dca0
                        [+ 178]                                                                                                                 7f7ab0a1e476 -> 7f7ab0a1db00
                        [+  43]                                                                                                                     7f7ab0a1dc3f -> 7f7ab0a2f930
                        [+  95]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
                        [+ 132]                                                                                                             7f7ab0a1e94a -> 7f7ab0a1dca0
                        [+ 162]                                                                                                                 7f7ab0a1e476 -> 7f7ab0a1db00
                        [+  43]                                                                                                                     7f7ab0a1dc3f -> 7f7ab0a2f930
                        [+  95]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
                        [+ 164]                                                                                                             7f7ab0a1e94a -> 7f7ab0a1dca0
                        [+ 170]                                                                                                                 7f7ab0a1e476 -> 7f7ab0a1db00
                        [+  43]                                                                                                                     7f7ab0a1dc3f -> 7f7ab0a2f930
                        [+  95]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
                        [+ 188]                                                                                                             7f7ab0a1e94a -> 7f7ab0a1dca0
                        [+ 162]                                                                                                                 7f7ab0a1e476 -> 7f7ab0a1db00
                        [+  43]                                                                                                                     7f7ab0a1dc3f -> 7f7ab0a2f930
                        [+  95]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
                        [+ 220]                                                                                                             7f7ab0a1e94a -> 7f7ab0a1dca0
                        [+  78]                                                                                                                 7f7ab0a1de0c -> 7f7ab0a257b0
                        [+   7]                                                                                                                     7f7ab0a257c0 -> 7f7ab0a2f930
                        [+   9]                                                                                                                     7f7ab0a257ef -> 7f7ab0a2f930
                        [+  55]                                                                                                                 7f7ab0a1de0c -> 7f7ab0a257b0
                        [+   7]                                                                                                                     7f7ab0a257c0 -> 7f7ab0a2f930
                        [+   9]                                                                                                                     7f7ab0a257ef -> 7f7ab0a2f930
                        [+  89]                                                                                                                 7f7ab0a1e476 -> 7f7ab0a1db00
                        [+  29]                                                                                                                     7f7ab0a1db6b -> 7f7ab0a2f930
                        [+  20]                                                                                                                     7f7ab0a1dc3f -> 7f7ab0a2f930
                        [+  95]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
                        [+ 140]                                                                                                             7f7ab0a1e94a -> 7f7ab0a1dca0
                        [+ 170]                                                                                                                 7f7ab0a1e476 -> 7f7ab0a1db00
                        [+  43]                                                                                                                     7f7ab0a1dc3f -> 7f7ab0a2f930
                        [+  95]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
                        [+ 108]                                                                                                             7f7ab0a1e94a -> 7f7ab0a1dca0
                        [+ 170]                                                                                                                 7f7ab0a1e476 -> 7f7ab0a1db00
                        [+  43]                                                                                                                     7f7ab0a1dc3f -> 7f7ab0a2f930
                        [+  95]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
                        [+ 148]                                                                                                             7f7ab0a1e94a -> 7f7ab0a1dca0
                        [+ 162]                                                                                                                 7f7ab0a1e476 -> 7f7ab0a1db00
                        [+  43]                                                                                                                     7f7ab0a1dc3f -> 7f7ab0a2f930
                        [+  95]                                                                                                         7f7ab0a205a8 -> 7f7ab0a1e800
